"Resort name and website","Nearest city","State/province","Peak elevation (ft)","Base elevation (ft)","Vertical drop (ft)","Skiable acreage","Total trails","Total lifts","Avg annual snowfall (in)","Adult weekend lift ticket window price (USD)","Date statistics updated"
"Four Lakes Alpine Snowsports , URL: https://www.fourlakessnowsports.com/
","Naperville , URL: /wiki/Naperville,_Illinois
","Illinois , URL: /wiki/Illinois
","500","400","100","9","7","6","24","$28","September 29, 2019[222]"
"Villa Olivia , URL: https://bartlettparks.org/villa-olivia/
","Bartlett , URL: /wiki/Bartlett,_Illinois
","Illinois , URL: /wiki/Illinois
","500","320","180","15","7","7","25","$40","September 29, 2019[223]"
"Mount Crescent , URL: https://www.skicrescent.com/
","Omaha , URL: /wiki/Omaha,_Nebraska
","Iowa , URL: /wiki/Iowa
","1,500","1,200","300","50","11","2","30","$39","September 29, 2019[224]"
"Seven Oaks , URL: https://sevenoaksrec.com/
","Boone , URL: /wiki/Boone,_Iowa
","Iowa , URL: /wiki/Iowa
","975","800","175","35","11","4","40","$40","September 29, 2019[225]"
"Sleepy Hollows Sports Park , URL: http://shspdm.com/winter-activities/
","Des Moines , URL: /wiki/Des_Moines,_Iowa
","Iowa , URL: /wiki/Iowa
","938","800","138","80","8","2","","$25","September 29, 2019[226]"
"Sundown Mountain , URL: https://www.sundownmtn.com/
","Dubuque , URL: /wiki/Dubuque,_Iowa
","Iowa , URL: /wiki/Iowa
","1,059","584","475","55","21","6","45","$46","September 29, 2019[227]"
"Bryce Resort , URL: /wiki/Bryce_Resort
","Basye , URL: /wiki/Basye,_Virginia
","Virginia , URL: /wiki/Virginia
","1,750","1,250","500","25","8","7","30","$67","September 29, 2019[228]"
"Massanutten Resort , URL: https://www.massresort.com/play/snow-sports/
","Harrisonburg , URL: /wiki/Harrisonburg,_Virginia
","Virginia , URL: /wiki/Virginia
","2,925","1,750","1,110","70","13","7","35","$79","September 29, 2019[229]"
"Homestead Resort , URL: https://www.omnihotels.com/hotels/homestead-virginia/things-to-do/ski
","Hot Springs , URL: /wiki/Hot_Springs,_Virginia
","Virginia , URL: /wiki/Virginia
","3,200","2,500","700","45","10","2","50","$35","September 29, 2019"
"Canaan Valley Resort , URL: /wiki/Canaan_Valley_Resort_State_Park
","Dryfork , URL: /wiki/Dryfork,_West_Virginia
","West Virginia , URL: /wiki/West_Virginia
","4,280","3,430","850","91","39","4","150","$68","September 29, 2019[230]"
"Winterplace , URL: /wiki/Winterplace_Ski_Resort
","Ghent , URL: /wiki/Ghent,_West_Virginia
","West Virginia , URL: /wiki/West_Virginia
","3,600","2,997","603","90","28","9","100","$72","September 29, 2019[231]"
"Oglebay Resort , URL: https://oglebay.com/activities/skiing-and-snowboarding/
","Wheeling , URL: /wiki/Wheeling,_West_Virginia
","West Virginia , URL: /wiki/West_Virginia
","","","168","","1","1","","$28","September 29, 2019[232]"
"Cloudmont Resort , URL: http://www.cloudmont.com/
","Mentone , URL: /wiki/Mentone,_Alabama
","Alabama , URL: /wiki/Alabama
","1,800","1,650","150","9","2","2","0","$40","September 29, 2019[233]"
"Anthony Lakes , URL: /wiki/Anthony_Lakes_(ski_area)
","North Powder , URL: /wiki/North_Powder,_Oregon
","Oregon , URL: /wiki/Oregon
","8,000","7,100","900","1,100","21","3","300","$40","September 29, 2019[234]"
"Coopper Spur , URL: /wiki/Cooper_Spur_ski_area
","Hood River , URL: /wiki/Hood_River,_Oregon
","Oregon , URL: /wiki/Oregon
","4,350","4,000","350","50","10","4","100","$39","September 29, 2019[235]"
"Ferguson Ridge , URL: /wiki/Ferguson_Ridge_Ski_Area
","Joseph , URL: /wiki/Joseph,_Oregon
","Oregon , URL: /wiki/Oregon
","5,840","5,200","640","170","8","2","300","$20","September 29, 2019[236]"
"Hoodoo , URL: /wiki/Hoodoo_(ski_area)
","Sisters , URL: /wiki/Sisters,_Oregon
","Oregon , URL: /wiki/Oregon
","5,703","4,668","1,035","806","32","5","360","$56","September 29, 2019[237]"
"Mount Hood Skibowl , URL: /wiki/Mount_Hood_Skibowl
","Government Camp , URL: /wiki/Government_Camp,_Oregon
","Oregon , URL: /wiki/Oregon
","5,027","3,500","1,527","960","65","9","300","$55","September 29, 2019[238]"
"Spout Springs , URL: /wiki/Spout_Springs_Ski_Area
","Tollgate , URL: /wiki/Tollgate,_Oregon
","Oregon , URL: /wiki/Oregon
","5,450","4,920","530","200","17","2","130","Closed Temporarily","September 29, 2019"
"Summit Ski Area , URL: /wiki/Summit_Ski_Area
","Government Camp , URL: /wiki/Government_Camp,_Oregon
","Oregon , URL: /wiki/Oregon
","4,306","4,000","306","70","3","2","150","$38","September 29, 2019[239]"
"Timberline Lodge , URL: /wiki/Timberline_Lodge_ski_area
","Government Camp , URL: /wiki/Government_Camp,_Oregon
","Oregon , URL: /wiki/Oregon
","8,540","4,850","3,620","1,430","35","9","540","$85","July 31, 2021[240]"
"Warner Canyon , URL: /wiki/Warner_Canyon
","Lakeview , URL: /wiki/Lakeview,_Oregon
","Oregon , URL: /wiki/Oregon
","6,003","5,271","732","200","21","1","50","$35","September 29, 2019[241]"
"Willamette Pass , URL: /wiki/Willamette_Pass_Resort
","Oakridge , URL: /wiki/Oakridge,_Oregon
","Oregon , URL: /wiki/Oregon
","6,683","5,120","1,563","555","29","6","430","$60","September 29, 2019[242]"
"Crested Butte , URL: /wiki/Crested_Butte_Mountain_Resort
","Crested Butte , URL: /wiki/Crested_Butte,_Colorado
","Colorado , URL: /wiki/Colorado
","12,170","9,115","3,055","1,547","121","16","300","$113","September 30, 2019[243]"
"Echo Mountain , URL: /wiki/Echo_Mountain_Resort
","Evergreen , URL: /wiki/Evergreen,_Colorado
","Colorado , URL: /wiki/Colorado
","10,650","10,050","600","226","13","2","275","$55","September 30, 2019[244]"
"Granby Ranch , URL: https://www.granbyranch.com/
","Granby , URL: /wiki/Granby,_Colorado
","Colorado , URL: /wiki/Colorado
","9,202","8,202","1000","406","40","5","220","$84","September 30, 2019[245]"
"Hesperus , URL: /wiki/Hesperus_Ski_Area
","Durango , URL: /wiki/Durango,_Colorado
","Colorado , URL: /wiki/Colorado
","8,888","8,200","688","60","26","1","150","$39","September 30, 2019[246]"
"Howelson Hill , URL: /wiki/Howelsen_Hill_Ski_Area
","Steamboat Springs , URL: /wiki/Steamboat_Springs,_Colorado
","Colorado , URL: /wiki/Colorado
","7,136","6,696","440","50","17","4","150","$30","September 30, 2019[247]"
"Kendall Mountain , URL: /wiki/Kendall_Mountain_Ski_Area
","Silverton , URL: /wiki/Silverton,_Colorado
","Colorado , URL: /wiki/Colorado
","9,540","9,300","240","16","11","1","200","$20","September 30, 2019[248]"
"Monarch , URL: /wiki/Monarch_Ski_Area
","Salida , URL: /wiki/Salida,_Colorado
","Colorado , URL: /wiki/Colorado
","11,960","10,790","1,170","800","63","5","400","$94","September 30, 2019[249]"
"Powderhorn Resort , URL: /wiki/Powderhorn_Resort
","Grand Junction , URL: /wiki/Grand_Junction,_Colorado
","Colorado , URL: /wiki/Colorado
","9,850","8,200","1,650","1,600","63","5","250","$71","September 30, 2019[250]"
"Purgatory Resort , URL: /wiki/Purgatory_Resort
","Durango , URL: /wiki/Durango,_Colorado
","Colorado , URL: /wiki/Colorado
","10,822","8,793","2,029","1,200","85","10","260","$99","September 30, 2019[251]"
"Silverton Mountain , URL: /wiki/Silverton_Mountain
","Silverton , URL: /wiki/Silverton,_Colorado
","Colorado , URL: /wiki/Colorado
","13,487","10,400","3,087","1,819","48","1","450","$79","September 30, 2019[252]"
"Sunlight Mountain , URL: /wiki/Sunlight_Ski_Area
","Glenwood Springs , URL: /wiki/Glenwood_Springs,_Colorado
","Colorado , URL: /wiki/Colorado
","9,895","7,885","2,010","470","67","3","250","$55","September 30, 2019[253]"
"Cranor Hill , URL: http://www.gunnisonco.gov/departments/parks_and_recreation/cranor_ski_area.php
","Gunnison , URL: /wiki/Gunnison,_Colorado
","Colorado , URL: /wiki/Colorado
","8,500","8,100","400","45","4","1","75","$17","September 30, 2019[254]"
"Lake City , URL: http://www.townoflakecity.co/lake-city-ski-hill.html
","Lake City , URL: /wiki/Lake_City,_Colorado
","Colorado , URL: /wiki/Colorado
","8,850","8,600","250","14","7","1","","$20","September 30, 2019[255]"
"Beaver Mountain , URL: /wiki/Beaver_Mountain
","Logan , URL: /wiki/Logan,_Utah
","Utah , URL: /wiki/Utah
","8,800","7,200","1,600","667","47","5","400","$50","September 30, 2019[256]"
"Cherry Peak , URL: /wiki/Cherry_Peak_Resort
","Richmond , URL: /wiki/Richmond,_Utah
","Utah , URL: /wiki/Utah
","7,050","5,775","1,265","200","29","3","322","$40","September 30, 2019[257]"
"Eagle Point , URL: https://www.eaglepointresort.com/
","Beaver , URL: /wiki/Beaver,_Utah
","Utah , URL: /wiki/Utah
","10,600","9,100","1,500","650","40","5","400","$65","September 30, 2019[258]"
"Nordic Valley , URL: /wiki/Nordic_Valley,_Utah
","Ogden , URL: /wiki/Ogden,_Utah
","Utah , URL: /wiki/Utah
","6,400","5,440","960","140","23","4","300","$45","September 30, 2019[259]"
"Snowbasin , URL: /wiki/Snowbasin
","Huntsville , URL: /wiki/Huntsville,_Utah
","Utah , URL: /wiki/Utah
","9,350","6,391","2,959","3,000","104","11","350","$99","September 30, 2019[260]"
"Solitude Mountain , URL: /wiki/Solitude_Mountain_Resort
","Salt Lake City , URL: /wiki/Salt_Lake_City
","Utah , URL: /wiki/Utah
","10,488","7,988","2,500","1,200","80","8","500","$115","September 30, 2019[261]"
"Sundance Mountain , URL: /wiki/Sundance_Mountain
","Provo , URL: /wiki/Provo,_Utah
","Utah , URL: /wiki/Utah
","8,250","6,100","2,150","450","44","5","320","$90","September 30, 2019[262]"
"Afton Alps , URL: /wiki/Afton_Alps
","Afton , URL: /wiki/Afton,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","700","350","350","300","50","22","60","$28","October 1, 2019[263]"
"Andes Tower Hills , URL: https://www.andestowerhills.com/
","Kensington , URL: /wiki/Kensington,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","1,620","1,330","290","35","15","6","55","$45","October 1, 2019[264]"
"Buck Hill , URL: /wiki/Buck_Hill
","Burnsville , URL: /wiki/Burnsville,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","1,211","949","262","45","16","9","60","$47","October 1, 2019[265]"
"Buena Vista Ski Area , URL: /wiki/Buena_Vista_Ski_Area
","Bemidji , URL: /wiki/Bemidji,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","1,510","1280","230","30","16","5","78","$44","October 1, 2019[266]"
"Chester Bowl Park , URL: https://www.chesterbowl.org/
","Duluth , URL: /wiki/Duluth,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","875","700","175","6","5","1","100","$15","October 1, 2019[267]"
"Coffee Mill Ski Area , URL: http://www.coffeemillski.com/
","Wabasha , URL: /wiki/Wabasha,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","1,150","725","425","40","14","3","48","$37","October 1, 2019"
"Detroit Mountain , URL: https://detroitmountain.com/
","Detroit Lakes , URL: /wiki/Detroit_Lakes,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","1,607","1,443","210","45","21","8","","$42","October 1, 2019[268]"
"Giants Ridge , URL: https://www.giantsridge.com/
","Biwabik , URL: /wiki/Biwabik,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","1,972","1,472","500","202","35","7","85","$34","October 1, 2019[269]"
"Hyland Hills , URL: /wiki/Hyland_Hills_Ski_Area
","Bloomington , URL: /wiki/Bloomington,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","1,075","900","175","35","13","6","60","$35.34","October 1, 2019[270]"
"Lutsen Mountains , URL: /wiki/Lutsen_Mountains
","Lutsen , URL: /wiki/Lutsen_Mountains
","Minnesota , URL: /wiki/Minnesota
","1,688","825","863","1,000","95","9","115","$86","October 1, 2019[271]"
"Mount Itasca , URL: http://www.mtitasca.com/
","Grand Rapids , URL: /wiki/Grand_Rapids,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","","","","","","","","$20","October 1, 2019[272]"
"Mount Kato , URL: /wiki/Mount_Kato
","Mankato , URL: /wiki/Mankato,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","840","600","240","55","19","11","50","$49","October 1, 2019[273]"
"Powder Ridge , URL: https://www.powderridge.com/
","Kimball , URL: /wiki/Kimball,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","850","540","310","60","15","6","45","$50","October 1, 2019[274]"
"Mount Ski Gull , URL: https://www.mountskigull.com/
","Nisswa , URL: /wiki/Nisswa,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","1,515","1,285","230","40","10","5","50","$39.99","October 1, 2019[275]"
"Spirit Mountain , URL: /wiki/Spirit_Mountain_(ski_area)
","Duluth , URL: /wiki/Duluth,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","1,298","620","678","175","22","8","90","$59","October 1, 2019[276]"
"Welch Village , URL: /wiki/Welch_Village
","Red Wing , URL: /wiki/Red_Wing,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","1,060","700","360","140","60","11","45","$62","October 1, 2019[277]"
"Wild Mountain , URL: /wiki/Wild_Mountain
","Taylors Falls , URL: /wiki/Taylors_Falls,_Minnesota
","Minnesota , URL: /wiki/Minnesota
","1,113","813","300","100","26","9","50","$56","October 1, 2019[278]"
"Abenaki Ski Area , URL: https://www.wolfeboronh.us/abenaki-ski-area
","Wolfeboro , URL: /wiki/Wolfeboro,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","815","600","215","18","7","2","","$25","December 8, 2019[279]"
"Arrowhead Recreation Area , URL: /wiki/Arrowhead_Recreation_Area
","Claremont , URL: /wiki/Claremont,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","","","120","225","9","2","","$9","December 8, 2019[280]"
"Attitash Mountain Resort , URL: /wiki/Attitash_Mountain_Resort
","North Conway , URL: /wiki/North_Conway,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","2,350","600","1,750","311`","68","9","120","$56","December 8, 2019[281]"
"Black Mountain Ski Area , URL: /wiki/Black_Mountain_Ski_Area_(New_Hampshire)
","Jackson , URL: /wiki/Jackson,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","2,350","1,250","1,100","143","40","5","125","$62","December 8, 2019[282]"
"Bretton Woods , URL: https://www.brettonwoods.com/winter_sports/alpine/overview
","Bretton Woods , URL: /wiki/Bretton_Woods,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","3,100","1,600","1,500","464","62","10","200","$96","December 8, 2019[283]"
"Cannon Mountain Ski Area , URL: /wiki/Cannon_Mountain_Ski_Area
","Franconia , URL: /wiki/Franconia,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","4,180","1,850","2,330","265","73","10","160","$82","December 8, 2019[284]"
"Campton Mountain , URL: https://www.camptonmountain.com/
","Campton , URL: /wiki/Campton,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","1,505","1,192","313","","","2","","$20","December 8, 2019[285]"
"Cranmore Mountain Resort , URL: /wiki/Cranmore_Mountain_Resort
","North Conway , URL: /wiki/North_Conway,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","2,000","600","1,200","200","54","10","150","$89","December 8, 2019[286]"
"Crotched Mountain Ski and Ride , URL: /wiki/Crotched_Mountain_Ski_%26_Ride
","Manchester , URL: /wiki/Manchester,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","2066","1050","1,016","75","23","5","105","$71","December 8, 2019[287]"
"Dartmouth Skiway , URL: /wiki/Dartmouth_Skiway
","Lyme , URL: /wiki/Lyme,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","1,943","975","968","104","30","4","100","$53","December 8, 2019[288]"
"Veterans Memorial Recreation Area , URL: https://www.franklinoutingclub.org/
","Franklin , URL: /wiki/Franklin,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","","","220","","10","2","","Free","December 8, 2019[289]"
"Granite Gorge , URL: /wiki/Granite_Gorge_Ski_Area
","Keene , URL: /wiki/Keene,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","1,325","935","390","150","19","3","","$49","December 8, 2019[290]"
"Gunstock Mountain Resort , URL: /wiki/Gunstock_Mountain_Resort
","Laconia , URL: /wiki/Laconia,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","2,267","867","1,400","227","55","6","120","$84","December 8, 2019[291]"
"Kanc Recreation Area , URL: https://www.smallskiareas.com/kanc/
","Lincoln , URL: /wiki/Lincoln,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","1,080","859","221","7","2","1","","$5","December 8, 2019[292]"
"King Pine Ski Area , URL: /wiki/King_Pine
","Madison , URL: /wiki/Madison,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","850","500","350","48","17","6","120","$59","December 8, 2019"
"Loon Mountain Resort , URL: /wiki/Loon_Mountain_Ski_Resort
","Lincoln , URL: /wiki/Lincoln,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","3,050","950","2,100","370","61","12","163","$104","December 8, 2019[293]"
"McIntyre Ski Area , URL: /wiki/McIntyre_Ski_Area
","Manchester , URL: /wiki/Manchester,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","510","340","169","37","10","5","","$42","December 8, 2019[294]"
"Mt. Eustis Ski Hill , URL: https://www.mteustis.org/
","Littleton , URL: /wiki/Littleton,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","1,373","1,133","240","","","1","","$5","December 8, 2019[295]"
"Mount Prospect Ski Tow , URL: https://www.mountprospectskitow.com/
","Lancaster , URL: /wiki/Lancaster,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","1,700","1,400","300","","","1","","$7","December 8, 2019[296]"
"Mount Sunapee Resort , URL: /wiki/Mount_Sunapee_Resort
","Claremont , URL: /wiki/Claremont,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","2,743","1,230","1,513","230","66","11","100","$79","December 8, 2019[297]"
"Pats Peak Ski Area , URL: /wiki/Pats_Peak
","Henniker , URL: /wiki/Henniker,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","1,460","690","770","103","28","11","100","$75","December 8, 2019[298]"
"Ragged Mountain Resort , URL: /wiki/Ragged_Mountain_Resort
","Danbury , URL: /wiki/Danbury,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","2250","1000","1,250","250","57","6","100","$87","December 8, 2019[299]"
"Red Hill Ski Area , URL: http://www.redhillskiclub.org/
","Moultonborough , URL: /wiki/Moultonborough,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","820","610","210","","9","1","","$25/season","December 8, 2019[300]"
"Storrs Hill Ski Area , URL: https://skistorrshill.com/
","Lebanon , URL: /wiki/Lebanon,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","580","280","300","20","3","1","","$15","December 8, 2019[301]"
"Tenney Mountain Resort , URL: /wiki/Tenney_Mountain_Ski_Resort
","Plymouth , URL: /wiki/Plymouth,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","2,149","749","1,400","110","45","3","140","$59","December 8, 2019[302]"
"Waterville Valley Resort , URL: /wiki/Waterville_Valley_Resort
","Waterville Valley , URL: /wiki/Waterville_Valley,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","3,840","1,820","2,020","220","50","11","150","$69","December 8, 2019[303]"
"Whaleback Mountain , URL: /wiki/Whaleback_(ski_area)
","Enfield , URL: /wiki/Enfield,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","1,800","1,100","700","85","30","4","110","$45","December 8, 2019[304]"
"Wildcat Mountain , URL: /wiki/Wildcat_Mountain_Ski_Area
","Jackson , URL: /wiki/Jackson,_New_Hampshire
","New Hampshire , URL: /wiki/New_Hampshire
","4,062","1,950","2,112","225","48","5","207","$120","December 8, 2019[305]"
"Bear Creek Mountain Resort , URL: /wiki/Bear_Creek_Ski_and_Recreation_Area
","Allentown , URL: /wiki/Allentown,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","1,100","590","510","86","21","7","30","$60","December 9, 2019[306]"
"Blue Knob All Seasons Resort , URL: https://blueknob.com/
","Claysburg , URL: /wiki/Claysburg,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","3,146","2,074","1,072","100","34","6","120","$70","December 9, 2019[307]"
"Blue Mountain Ski Area , URL: /wiki/Blue_Mountain_Resort
","Palmerton , URL: /wiki/Palmerton,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","1,540","458","1,082","164","39","13","33","$70","December 9, 2019[308]"
"Boyce Park Four Seasons Lodge , URL: https://alleghenycounty.us/parks/boyce/four-seasons-activity-center.aspx
","Plum , URL: /wiki/Plum,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","1,245","1,115","130","25","9","5","","$28","December 9, 2019[309]"
"Camelback Mountain Resort , URL: /wiki/Camelback_Mountain_Resort
","Scranton , URL: /wiki/Scranton,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","2,130","1,330","800","166","35","16","50","$78","December 9, 2019[310]"
"Elk Mountain Ski Resort , URL: /wiki/Elk_Mountain_Ski_Area
","Scranton , URL: /wiki/Scranton,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","2,667","1,742","925","180","27","7","60","$69","December 9, 2019[311]"
"Hidden Valley Resort , URL: /wiki/Hidden_Valley_Resort_(Pennsylvania)
","Hidden Valley , URL: /wiki/Hidden_Valley,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","2,875","2,405","470","110","26","11","140","$61","December 9, 2019[312]"
"Jack Frost - Big Boulder Ski Area , URL: /wiki/Jack_Frost_Ski_Resort
","White Haven , URL: /wiki/White_Haven,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","2,000","1,400","600","145","35","22","50","$68","December 9, 2019[313]"
"Laurel Mountain Ski Resort , URL: /wiki/Laurel_Mountain_Ski_Resort
","Ligonier , URL: /wiki/Ligonier,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","2,800","2,000","800","70","20","2","","$58","December 9, 2019[314]"
"Liberty Mountain Resort , URL: /wiki/Liberty_Mountain_Resort
","Gettysburg , URL: /wiki/Gettysburg,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","1,190","570","620","100","22","9","31","$105","December 9, 2019[315]"
"Mount Pleasant of Edinboro , URL: /wiki/Mount_Pleasant_of_Edinboro
","Edinboro , URL: /wiki/Edinboro,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","1,550","1,200","350","35","10","2","150","$33","December 9, 2019[316]"
"Seven Springs Mountain Resort , URL: /wiki/Seven_Springs_Mountain_Resort
","Seven Springs , URL: /wiki/Seven_Springs,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","2,994","2,240","750","285","40","14","150","$76","December 9, 2019[317]"
"Shawnee Mountain Ski Area , URL: /wiki/Shawnee_Mountain_Ski_Area
","East Stroudsburg , URL: /wiki/East_Stroudsburg,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","1,351","700","651","125","23","9","50","$68","December 9, 2019[318]"
"Ski Big Bear , URL: /wiki/Ski_Big_Bear
","Lackawaxen , URL: /wiki/Lackawaxen_Township,_Pike_County,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","1,250","600","650","26","18","7","69","$64","December 9, 2019[319]"
"Denton Hill State Park , URL: /wiki/Denton_Hill_State_Park
","Ulysses , URL: /wiki/Ulysses,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","2,460","1,800","660","","","5","","Closed Temporarily","December 9, 2019[320]"
"Roundtop Mountain Resort , URL: /wiki/Roundtop_Mountain_Resort
","Lewisberry , URL: /wiki/Lewisberry,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","1,335","755","600","103","20","7","30","$73","December 9, 2019[321]"
"Spring Mountain Adventure , URL: http://springmountainadventures.com/
","Schwenksville , URL: /wiki/Schwenksville,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","528","78","450","45","9","6","20","$48","December 9, 2019[322]"
"Ski Sawmill Resort , URL: http://skisawmill.com/
","Morris , URL: /wiki/Morris,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","2,215","1,700","515","15","14","5","24","$48","December 9, 2019[323]"
"Montage Mountain Resorts , URL: /wiki/Montage_Mountain_Ski_Resort
","Scranton , URL: /wiki/Scranton,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","1,960","960","1000","140","26","9","60","$58","December 9, 2019[324]"
"Tussey Mountain Ski and Recreation , URL: /wiki/Tussey_Mountain_Ski_Area
","State College , URL: /wiki/State_College,_Pennsylvania
","Pennsylvania , URL: /wiki/Pennsylvania
","1,750","1,230","520","38","7","3","41","$62","December 9, 2019[325]"
"Whitetail Resort , URL: /wiki/Whitetail_Ski_Resort
","Clear Spring , URL: /wiki/Clear_Spring,_Maryland
","Pennsylvania , URL: /wiki/Pennsylvania
","1,800","865","935","109","25","9","40","$64","December 9, 2019[326]"
"Alpine Valley Resort , URL: /wiki/Alpine_Valley_Resort_(Wisconsin)
","Elkhorn , URL: /wiki/Elkhorn,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,040","820","220","90","20","12","80","$53","December 9, 2019[327]"
"Bruce Mound Winter Sports Area , URL: http://clarkcountywi.org/visit-clark-county/outdoors/bruce-mound.php
","Merrillan , URL: /wiki/Merrillan,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,375","1,000","375","40","12","5","42","$26","December 9, 2019[328]"
"Camp 10 Ski Area , URL: http://camp10skiandsnowboard.com/
","Rhinelander , URL: /wiki/Rhinelander,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,740","1,510","230","","15","4","","$38","December 9, 2019[329]"
"Cascade Mountain , URL: /wiki/Cascade_Mountain_(ski_area)
","Portage , URL: /wiki/Portage,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,270","820","450","175","47","11","56","$66","December 9, 2019[330]"
"Christie Mountain , URL: /wiki/Christie_Mountain_(ski_area)
","Bruce , URL: /wiki/Bruce,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,650","1,300","350","45","30","5","48","$40","December 9, 2019[331]"
"Christmas Mountain , URL: https://directory.bluegreenvacations.com/christmas-mountain-village/
","Wisconsin Dells , URL: /wiki/Wisconsin_Dells,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,250","1,000","250","40","16","3","20","$45","December 9, 2019[332]"
"The Rock Snowpark , URL: https://www.rocksnowpark.com/
","Milwaukee , URL: /wiki/Milwaukee
","Wisconsin , URL: /wiki/Wisconsin
","925","700","225","75","10","5","","$36","December 9, 2019[333]"
"Devil's Head Resort , URL: /wiki/Devil%27s_Head_Resort
","Baraboo , URL: /wiki/Baraboo,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,420","930","490","268","28","10","55","$66","December 9, 2019[334]"
"Granite Peak Ski Area , URL: /wiki/Granite_Peak_Ski_Area
","Wausau , URL: /wiki/Wausau,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,950","1,250","700","220","75","7","75","$49","December 9, 2019[335]"
"Kettlebowl Ski Area , URL: /wiki/Kettlebowl
","Antigo , URL: /wiki/Antigo,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,780","1,455","325","","7","5","","$5","December 9, 2019[336]"
